Step,flowing-sweep-1 - eval_auroc_classification,flowing-sweep-1 - eval_auroc_classification__MIN,flowing-sweep-1 - eval_auroc_classification__MAX
0,0.6887,0.6887,0.6887
1,0.7101,0.7101,0.7101
2,0.7358,0.7358,0.7358
3,0.7521,0.7521,0.7521
4,0.7676,0.7676,0.7676
5,0.7738,0.7738,0.7738
6,0.7774,0.7774,0.7774
7,0.7823,0.7823,0.7823
8,0.7837,0.7837,0.7837
9,0.7857,0.7857,0.7857
10,0.779,0.779,0.779
11,0.7833,0.7833,0.7833
12,0.7888,0.7888,0.7888
13,0.7907,0.7907,0.7907
14,0.7858,0.7858,0.7858
15,0.7887,0.7887,0.7887
16,0.7862,0.7862,0.7862
17,0.7913,0.7913,0.7913
18,0.7847,0.7847,0.7847
19,0.7838,0.7838,0.7838
20,0.7898,0.7898,0.7898
21,0.7884,0.7884,0.7884
22,0.7876,0.7876,0.7876
23,0.7855,0.7855,0.7855
24,0.7886,0.7886,0.7886
25,0.7864,0.7864,0.7864
26,0.7888,0.7888,0.7888
27,0.7873,0.7873,0.7873
28,0.7884,0.7884,0.7884
29,0.7893,0.7893,0.7893
30,0.7888,0.7888,0.7888
31,0.7896,0.7896,0.7896
32,0.7891,0.7891,0.7891
33,0.791,0.791,0.791
34,0.7869,0.7869,0.7869
35,0.7895,0.7895,0.7895
36,0.7896,0.7896,0.7896
37,0.7933,0.7933,0.7933
38,0.7909,0.7909,0.7909
39,0.7908,0.7908,0.7908
40,0.7911,0.7911,0.7911
41,0.7924,0.7924,0.7924
42,0.7894,0.7894,0.7894
