Step,leafy-sweep-1 - eval_top1,leafy-sweep-1 - eval_top1__MIN,leafy-sweep-1 - eval_top1__MAX
0,19.872,19.872,19.872
1,68.236,68.236,68.236
2,74.084,74.084,74.084
3,75.956,75.956,75.956
4,76.856,76.856,76.856
5,77.456,77.456,77.456
6,77.788,77.788,77.788
7,78.198,78.198,78.198
8,78.362,78.362,78.362
9,78.7,78.7,78.7
10,78.896,78.896,78.896
11,78.862,78.862,78.862
12,79.148,79.148,79.148
13,79.092,79.092,79.092
14,79.138,79.138,79.138
15,79.35,79.35,79.35
16,79.126,79.126,79.126
17,79.32,79.32,79.32
18,79.34,79.34,79.34
19,79.162,79.162,79.162
20,79.276,79.276,79.276
21,79.084,79.084,79.084
22,79.232,79.232,79.232
23,79.08,79.08,79.08
24,79.136,79.136,79.136
25,79.514,79.514,79.514
26,79.538,79.538,79.538
27,79.594,79.594,79.594
28,79.594,79.594,79.594
29,79.596,79.596,79.596
30,79.598,79.598,79.598
31,79.59,79.59,79.59
