,Model,GPU,Number parameters,Eval time per batch (s),"batchsize (actual images, without the duplicates for unsupervised training)",Eval time per sample (s),Train epoch time (train + eval) (s)
ResNet 50,CE,2080TI,25557032,0.47432,128,0.003705625,5970.623487
ResNet 50,InfoNCE,2080TI,23506984,0.35735,96,0.003722395833333,6702.770971
ResNet 50,MCInfoNCE,2080TI,27705385,0.36159,96,0.0037665625,6656.122939
ResNet 50,ELK,2080TI,29755433,0.48561,128,0.003793828125,6702.770971
ResNet 50,nivMF,2080TI,29755433,0.24111,64,0.00376734375,6255.577437
ResNet 50,HIB,2080TI,29755433,0.36032,96,0.003753333333333,7279.125589
ResNet 50,HET-XL,A100,33945641,0.29023,128,0.002267421875,4189.245798
ResNet 50,Riskpred,2080TI,29755433,0.47061,128,0.003676640625,6525.888846
ResNet 50,MCDropout,2080TI,25557032,1.67773,128,0.013107265625,7105.443023
ResNet 50,Ensemble,2080TI,46047032,0.47555,128,0.003715234375,6002.325814
ResNet 50,SNGP,2080TI,28728360,0.47435,128,0.003705859375,7632.219115
ViT Medium,CE,A100,38861288,0.36091,128,0.002819609375,4921.617539
ViT Medium,InfoNCE,A100,38348776,0.2559,96,0.002665625,7804.109015
ViT Medium,MCInfoNCE,A100,40974313,0.22944,96,0.00239,9883.240524
ViT Medium,ELK,A100,41486825,0.17475,64,0.00273046875,4837.64722
ViT Medium,nivMF,A100,41486825,0.15672,64,0.00244875,4121.090732
ViT Medium,HIB,A100,41486825,0.11929,48,0.002485208333333,3949.621114
ViT Medium,HET-XL,A100,39385577,0.31141,128,0.002432890625,4204.973109
ViT Medium,Riskpred,A100,41486825,0.16404,64,0.002563125,3813.537588
ViT Medium,MCDropout,A100,38861288,1.23369,128,0.009638203125,4721.209852
ViT Medium,Ensemble,A100,43991288,0.32372,128,0.0025290625,4106.966106
ViT Medium,SNGP,A100,41996776,0.369,128,0.0028828125,4811.481841
